minute,radiant,dire,gold_adv_radiant
-2,3180,3000,180
-1,12465,12400,65
0,2618935,2609961,8974
1,560371,571218,-10847
2,572365,571537,828
3,692732,680711,12021
4,872527,843376,29151
5,935811,939823,-4012
6,1053243,1014531,38712
7,1126162,1083838,42324
8,1169092,1173068,-3976
9,1317264,1293423,23841
10,1461691,1486692,-25001
11,1549423,1477747,71676
12,1638751,1608391,30360
13,1721314,1725795,-4481
14,1828395,1815802,12593
15,1744073,1707626,36447
16,1783341,1754209,29132
17,1994318,1978874,15444
18,2139523,2155635,-16112
19,2038581,2014708,23873
20,2047203,2008135,39068
21,2098660,2062308,36352
22,2233755,2244710,-10955
23,2169524,2150599,18925
24,2197153,2111938,85215
25,2231836,2266163,-34327
26,2317869,2259083,58786
27,2213113,2107264,105849
28,2180575,2105546,75029
29,2128589,2077853,50736
30,2219140,2143707,75433
31,2132464,2031869,100595
32,2338345,2233986,104359
33,2297448,2259937,37511
34,2301236,2261803,39433
35,2025190,1983671,41519
36,1918418,1914202,4216
37,1870166,1876954,-6788
38,1850368,1906495,-56127
39,1722859,1736769,-13910
40,1620056,1631274,-11218
41,1560800,1608206,-47406
42,1523756,1625539,-101783
43,1484898,1485974,-1076
44,1311501,1283479,28022
45,1270496,1285648,-15152
46,1186308,1185953,355
47,1081640,1046321,35319
48,969674,1049969,-80295
49,866165,942731,-76566
50,814838,861921,-47083
51,693488,769952,-76464
52,708017,741562,-33545
53,693275,662075,31200
54,610125,608057,2068
55,580816,477676,103140
56,449077,431632,17445
57,431891,456341,-24450
58,405965,416481,-10516
59,338108,406983,-68875
60,300685,398171,-97486
61,269490,354199,-84709
62,295531,355612,-60081
63,245429,316414,-70985
64,271145,296649,-25504
65,250004,284381,-34377
66,250013,248125,1888
67,216120,185033,31087
68,170554,175595,-5041
69,146180,170823,-24643
70,148670,150852,-2182
71,103157,111197,-8040
72,97281,118503,-21222
73,93894,101165,-7271
74,108105,115797,-7692
75,75869,71453,4416
76,57523,58586,-1063
77,59560,56602,2958
78,52232,55844,-3612
79,48757,43323,5434
80,64954,35496,29458
81,29857,35600,-5743
82,30756,39704,-8948
83,40341,27754,12587
84,23431,22977,454
85,36743,40369,-3626
86,30265,35507,-5242
87,36649,28117,8532
88,31077,42780,-11703
89,23509,28008,-4499
90,39522,24385,15137
91,31714,25679,6035
92,34967,30791,4176
93,24865,35617,-10752
94,35644,37395,-1751
95,33526,33741,-215
96,29375,42247,-12872
97,27195,24279,2916
98,22615,11794,10821
99,26294,17342,8952
100,9951,12036,-2085
101,12452,8247,4205
102,12720,18500,-5780
103,18465,15600,2865
104,9282,8725,557
105,19897,16401,3496
106,13472,13765,-293
107,28353,16864,11489
108,25112,9868,15244
109,12255,23287,-11032
110,11606,7179,4427
111,9343,3987,5356
112,8046,4873,3173
113,13730,5456,8274
114,6319,6715,-396
115,20,3325,-3305
