window,team,cell_x,cell_y,x_center,y_center,count
0-10,radiant,7,33,-8125.0,-1625.0,1
0-10,radiant,7,37,-8125.0,-625.0,10
0-10,radiant,7,38,-8125.0,-375.0,179
0-10,radiant,7,39,-8125.0,-125.0,47
0-10,radiant,8,33,-7875.0,-1625.0,278
0-10,radiant,8,34,-7875.0,-1375.0,74
0-10,radiant,8,35,-7875.0,-1125.0,27
0-10,radiant,8,36,-7875.0,-875.0,26
0-10,radiant,8,37,-7875.0,-625.0,72
0-10,radiant,8,38,-7875.0,-375.0,215
0-10,radiant,8,39,-7875.0,-125.0,131
0-10,radiant,8,40,-7875.0,125.0,16
0-10,radiant,9,31,-7625.0,-2125.0,1
0-10,radiant,9,33,-7625.0,-1625.0,228
0-10,radiant,9,34,-7625.0,-1375.0,178
0-10,radiant,9,35,-7625.0,-1125.0,116
0-10,radiant,9,36,-7625.0,-875.0,66
0-10,radiant,9,37,-7625.0,-625.0,104
0-10,radiant,9,38,-7625.0,-375.0,55
0-10,radiant,9,39,-7625.0,-125.0,47
0-10,radiant,9,40,-7625.0,125.0,10
0-10,radiant,10,32,-7375.0,-1875.0,3
0-10,radiant,10,33,-7375.0,-1625.0,7
0-10,radiant,10,34,-7375.0,-1375.0,23
0-10,radiant,10,35,-7375.0,-1125.0,24
0-10,radiant,10,36,-7375.0,-875.0,25
0-10,radiant,10,37,-7375.0,-625.0,15
0-10,radiant,10,39,-7375.0,-125.0,3
0-10,radiant,11,34,-7125.0,-1375.0,2
0-10,radiant,11,35,-7125.0,-1125.0,6
0-10,radiant,11,36,-7125.0,-875.0,3
0-10,radiant,12,34,-6875.0,-1375.0,1
0-10,radiant,15,38,-6125.0,-375.0,2
0-10,radiant,15,39,-6125.0,-125.0,1
0-10,radiant,19,32,-5125.0,-1875.0,1
0-10,radiant,20,40,-4875.0,125.0,28
0-10,radiant,21,38,-4625.0,-375.0,2
0-10,radiant,21,39,-4625.0,-125.0,1
0-10,radiant,21,40,-4625.0,125.0,29
0-10,radiant,22,39,-4375.0,-125.0,2
0-10,radiant,22,40,-4375.0,125.0,3
0-10,radiant,23,38,-4125.0,-375.0,1
0-10,radiant,23,39,-4125.0,-125.0,5
0-10,radiant,23,40,-4125.0,125.0,3
0-10,radiant,24,38,-3875.0,-375.0,1
0-10,radiant,24,39,-3875.0,-125.0,3
0-10,radiant,24,40,-3875.0,125.0,1
0-10,radiant,25,31,-3625.0,-2125.0,1
0-10,radiant,25,40,-3625.0,125.0,7
0-10,radiant,26,36,-3375.0,-875.0,1
0-10,radiant,26,40,-3375.0,125.0,1
0-10,radiant,27,36,-3125.0,-875.0,1
0-10,radiant,27,39,-3125.0,-125.0,1
0-10,radiant,27,40,-3125.0,125.0,2
0-10,radiant,28,36,-2875.0,-875.0,1
0-10,radiant,28,39,-2875.0,-125.0,1
0-10,radiant,28,40,-2875.0,125.0,3
0-10,radiant,29,19,-2625.0,-5125.0,2
0-10,radiant,29,21,-2625.0,-4625.0,1
0-10,radiant,29,22,-2625.0,-4375.0,2
0-10,radiant,29,40,-2625.0,125.0,1
0-10,radiant,30,7,-2375.0,-8125.0,1
0-10,radiant,30,8,-2375.0,-7875.0,2
0-10,radiant,30,9,-2375.0,-7625.0,4
0-10,radiant,30,10,-2375.0,-7375.0,1
0-10,radiant,30,11,-2375.0,-7125.0,1
0-10,radiant,30,29,-2375.0,-2625.0,1
0-10,radiant,30,33,-2375.0,-1625.0,1
0-10,radiant,30,36,-2375.0,-875.0,1
0-10,radiant,30,40,-2375.0,125.0,1
0-10,radiant,31,6,-2125.0,-8375.0,1
0-10,radiant,31,7,-2125.0,-8125.0,51
0-10,radiant,31,8,-2125.0,-7875.0,34
0-10,radiant,31,9,-2125.0,-7625.0,24
0-10,radiant,31,10,-2125.0,-7375.0,2
0-10,radiant,31,15,-2125.0,-6125.0,1
0-10,radiant,31,33,-2125.0,-1625.0,1
0-10,radiant,31,34,-2125.0,-1375.0,1
0-10,radiant,31,35,-2125.0,-1125.0,1
0-10,radiant,31,38,-2125.0,-375.0,1
0-10,radiant,31,39,-2125.0,-125.0,1
0-10,radiant,32,7,-1875.0,-8125.0,7
0-10,radiant,32,8,-1875.0,-7875.0,8
0-10,radiant,32,9,-1875.0,-7625.0,5
0-10,radiant,32,10,-1875.0,-7375.0,2
0-10,radiant,32,15,-1875.0,-6125.0,1
0-10,radiant,32,18,-1875.0,-5375.0,1
0-10,radiant,32,19,-1875.0,-5125.0,1
0-10,radiant,32,20,-1875.0,-4875.0,2
0-10,radiant,32,21,-1875.0,-4625.0,31
0-10,radiant,32,22,-1875.0,-4375.0,3
0-10,radiant,32,23,-1875.0,-4125.0,1
0-10,radiant,32,24,-1875.0,-3875.0,1
0-10,radiant,32,25,-1875.0,-3625.0,5
0-10,radiant,32,26,-1875.0,-3375.0,10
0-10,radiant,32,27,-1875.0,-3125.0,7
0-10,radiant,32,28,-1875.0,-2875.0,2
0-10,radiant,32,30,-1875.0,-2375.0,1
0-10,radiant,32,33,-1875.0,-1625.0,1
0-10,radiant,32,35,-1875.0,-1125.0,1
0-10,radiant,32,39,-1875.0,-125.0,1
0-10,radiant,33,7,-1625.0,-8125.0,14
0-10,radiant,33,8,-1625.0,-7875.0,2
0-10,radiant,33,9,-1625.0,-7625.0,16
0-10,radiant,33,10,-1625.0,-7375.0,6
0-10,radiant,33,11,-1625.0,-7125.0,1
0-10,radiant,33,19,-1625.0,-5125.0,1
0-10,radiant,33,20,-1625.0,-4875.0,8
0-10,radiant,33,21,-1625.0,-4625.0,111
0-10,radiant,33,22,-1625.0,-4375.0,84
0-10,radiant,33,23,-1625.0,-4125.0,24
0-10,radiant,33,24,-1625.0,-3875.0,21
0-10,radiant,33,25,-1625.0,-3625.0,17
0-10,radiant,33,26,-1625.0,-3375.0,91
0-10,radiant,33,27,-1625.0,-3125.0,32
0-10,radiant,33,28,-1625.0,-2875.0,4
0-10,radiant,33,30,-1625.0,-2375.0,1
0-10,radiant,33,34,-1625.0,-1375.0,1
0-10,radiant,33,35,-1625.0,-1125.0,5
0-10,radiant,34,7,-1375.0,-8125.0,3
0-10,radiant,34,8,-1375.0,-7875.0,1
0-10,radiant,34,9,-1375.0,-7625.0,3
0-10,radiant,34,10,-1375.0,-7375.0,3
0-10,radiant,34,11,-1375.0,-7125.0,2
0-10,radiant,34,18,-1375.0,-5375.0,1
0-10,radiant,34,19,-1375.0,-5125.0,1
0-10,radiant,34,20,-1375.0,-4875.0,13
0-10,radiant,34,21,-1375.0,-4625.0,43
0-10,radiant,34,22,-1375.0,-4375.0,89
0-10,radiant,34,23,-1375.0,-4125.0,157
0-10,radiant,34,24,-1375.0,-3875.0,87
0-10,radiant,34,25,-1375.0,-3625.0,111
0-10,radiant,34,26,-1375.0,-3375.0,102
0-10,radiant,34,27,-1375.0,-3125.0,80
0-10,radiant,34,28,-1375.0,-2875.0,4
0-10,radiant,34,29,-1375.0,-2625.0,4
0-10,radiant,34,36,-1375.0,-875.0,5
0-10,radiant,34,39,-1375.0,-125.0,1
0-10,radiant,34,40,-1375.0,125.0,1
0-10,radiant,35,7,-1125.0,-8125.0,3
0-10,radiant,35,8,-1125.0,-7875.0,3
0-10,radiant,35,9,-1125.0,-7625.0,4
0-10,radiant,35,10,-1125.0,-7375.0,1
0-10,radiant,35,18,-1125.0,-5375.0,3
0-10,radiant,35,19,-1125.0,-5125.0,7
0-10,radiant,35,20,-1125.0,-4875.0,2
0-10,radiant,35,21,-1125.0,-4625.0,14
0-10,radiant,35,22,-1125.0,-4375.0,16
0-10,radiant,35,23,-1125.0,-4125.0,1
